Item,Location,Flag
Cavern Shroom 14,Shroom: Sun Cavern - Armada Entrance 1,NOTE_CAVE14
Cavern Shroom 15,Shroom: Sun Cavern - Armada Entrance 2,NOTE_CAVE15
Cavern Shroom 16,Shroom: Sun Cavern - Armada Entrance 3,NOTE_CAVE16
Cavern Shroom 17,Shroom: Sun Cavern - Vine Ledge 1,NOTE_CAVE17
Cavern Shroom 18,Shroom: Sun Cavern - Vine Ledge 2,NOTE_CAVE18
Cavern Shroom 19,Shroom: Moon Cavern - Dive Holes 1,NOTE_CAVE19
Cavern Shroom 20,Shroom: Moon Cavern - Dive Holes 2,NOTE_CAVE20
Cavern Shroom 21,Shroom: Moon Cavern - Dive Holes 3,NOTE_CAVE21
Cavern Shroom 22,Shroom: Moon Cavern - Dive Holes 4,NOTE_CAVE22
Cavern Shroom 23,Shroom: Moon Cavern - Dive Holes 5,NOTE_CAVE23
Cavern Shroom 24,Shroom: Moon Cavern - Dive Holes 6,NOTE_CAVE24
Cavern Shroom 25,Shroom: Moon Cavern - Dive Puzzle 1,NOTE_CAVE25
Cavern Shroom 26,Shroom: Moon Cavern - Dive Puzzle 2,NOTE_CAVE26
Cavern Shroom 27,Shroom: Moon Cavern - Dive Puzzle 3,NOTE_CAVE27
Cavern Shroom 28,Shroom: Moon Cavern - Potionfall,NOTE_CAVE28
Cavern Shroom 29,Shroom: Moon Cavern - Lonely Shroom,NOTE_CAVE29
Cavern Shroom 30,Shroom: Moon Cavern - Palace Lobby Pathway 2,NOTE_CAVE30
Cavern Shroom 31,Shroom: Moon Cavern - Palace Lobby Pathway 1,NOTE_CAVE31
Cavern Shroom 32,Shroom: Moon Cavern - Palace Lobby Pathway 3,NOTE_CAVE32
Cavern Shroom 33,Shroom: Moon Cavern - Palace Lobby Statue 1,NOTE_CAVE33
Cavern Shroom 34,Shroom: Moon Cavern - Palace Lobby Statue 2,NOTE_CAVE34
Cavern Shroom 35,Shroom: Moon Cavern - Palace Lobby Entryway 1,NOTE_CAVE35
Cavern Shroom 36,Shroom: Moon Cavern - Palace Lobby Entryway 2,NOTE_CAVE36
Cavern Shroom 37,Shroom: Moon Cavern - Palace Lobby Entryway 3,NOTE_CAVE37
Cavern Shroom 38,Shroom: Moon Cavern - Lava Platforms 1,NOTE_CAVE38
Cavern Shroom 39,Shroom: Moon Cavern - Lava Platforms 2,NOTE_CAVE39
Cavern Shroom 40,Shroom: Moon Cavern - Lava Platforms 3,NOTE_CAVE40
Cavern Shroom 41,Shroom: Moon Cavern - Lava Platforms 4,NOTE_CAVE41
Cavern Shroom 42,Shroom: Moon Cavern - Lava Mushroom Platform 1,NOTE_CAVE42
Cavern Shroom 43,Shroom: Moon Cavern - Lava Mushroom Platform 2,NOTE_CAVE43
Cavern Shroom 44,Shroom: Lostleaf Lobby - Bridge 2,NOTE_CAVE44
Cavern Shroom 45,Shroom: Lostleaf Lobby - Bridge 3,NOTE_CAVE45
Cavern Shroom 46,Shroom: Lostleaf Lobby - Bridge 1,NOTE_CAVE46
Cavern Shroom 47,Shroom: Lostleaf Lobby - Trees 1,NOTE_CAVE47
Cavern Shroom 48,Shroom: Lostleaf Lobby - Trees 2,NOTE_CAVE48
Cavern Shroom 49,Shroom: Lostleaf Lobby - Trees 3,NOTE_CAVE49
Cavern Shroom 50,Shroom: Armada Lobby - Cliffside 1,NOTE_CAVE50
Cavern Shroom 51,Shroom: Armada Lobby - Cliffside 2,NOTE_CAVE51
Cavern Shroom 52,Shroom: Armada Lobby - Cliffside 4,NOTE_CAVE52
Cavern Shroom 53,Shroom: Armada Lobby - Cliffside 5,NOTE_CAVE53
Cavern Shroom 54,Shroom: Armada Lobby - Cliffside 3,NOTE_CAVE54
Cavern Shroom 55,Shroom: Palace Lobby - Ledges 1,NOTE_CAVE55
Cavern Shroom 56,Shroom: Palace Lobby - Ledges 6,NOTE_CAVE56
Cavern Shroom 57,Shroom: Palace Lobby - Ledges 5,NOTE_CAVE57
Cavern Shroom 58,Shroom: Palace Lobby - Ledges 3,NOTE_CAVE58
Cavern Shroom 59,Shroom: Palace Lobby - Ledges 2,NOTE_CAVE59
Cavern Shroom 60,Shroom: Palace Lobby - Ledges 4,NOTE_CAVE60
Cavern Shroom 61,Shroom: Palace Lobby - Underwater 1,NOTE_CAVE61
Cavern Shroom 62,Shroom: Palace Lobby - Underwater 2,NOTE_CAVE62
Cavern Shroom 63,Shroom: Palace Lobby - Underwater 3,NOTE_CAVE63
Cavern Shroom 64,Shroom: Palace Lobby - Underwater 5,NOTE_CAVE64
Cavern Shroom 65,Shroom: Palace Lobby - Underwater 6,NOTE_CAVE65
Cavern Shroom 66,Shroom: Palace Lobby - Underwater 4,NOTE_CAVE66
Cavern Shroom 67,Shroom: Gallery Lobby - Fountain 1,NOTE_CAVE67
Cavern Shroom 68,Shroom: Gallery Lobby - Fountain 2,NOTE_CAVE68
Cavern Shroom 69,Shroom: Gallery Lobby - Fountain 3,NOTE_CAVE69
Cavern Shroom 70,Shroom: Gallery Lobby - Fountain 4,NOTE_CAVE70
Cavern Shroom 71,Shroom: Gallery Lobby - Castle Hill 3,NOTE_CAVE71
Cavern Shroom 72,Shroom: Gallery Lobby - Castle Hill 5,NOTE_CAVE72
Cavern Shroom 73,Shroom: Gallery Lobby - Castle Hill 4,NOTE_CAVE73
Cavern Shroom 74,Shroom: Gallery Lobby - Castle Hill 1,NOTE_CAVE74
Cavern Shroom 75,Shroom: Gallery Lobby - Castle Hill 2,NOTE_CAVE75
Cavern Shroom 76,Shroom: Gallery Lobby - Entryway 1,NOTE_CAVE76
Cavern Shroom 77,Shroom: Gallery Lobby - Entryway 4,NOTE_CAVE77
Cavern Shroom 78,Shroom: Gallery Lobby - Entryway 5,NOTE_CAVE78
Cavern Shroom 79,Shroom: Gallery Lobby - Entryway 3,NOTE_CAVE79
Cavern Shroom 80,Shroom: Gallery Lobby - Entryway 2,NOTE_CAVE80

Lostleaf Shroom 1,Shroom: Lostleaf Lake - Treehouse Branches 4,NOTE_LAKE1
Lostleaf Shroom 2,Shroom: Lostleaf Lake - Treehouse Branches 3,NOTE_LAKE2
Lostleaf Shroom 3,Shroom: Lostleaf Lake - Treehouse Branches 1,NOTE_LAKE3
Lostleaf Shroom 4,Shroom: Lostleaf Lake - Treehouse Branches 2,NOTE_LAKE4
Lostleaf Shroom 5,Shroom: Lostleaf Lake - Treehouse Branches 6,NOTE_LAKE5
Lostleaf Shroom 6,Shroom: Lostleaf Lake - Treehouse Branches 5,NOTE_LAKE6
Lostleaf Shroom 7,Shroom: Lostleaf Lake - Deep Woods 2,NOTE_LAKE7
Lostleaf Shroom 8,Shroom: Lostleaf Lake - Deep Woods 1,NOTE_LAKE8
Lostleaf Shroom 9,Shroom: Lostleaf Lake - Deep Woods 3,NOTE_LAKE9
Lostleaf Shroom 10,Shroom: Lostleaf Lake - Deep Woods 6,NOTE_LAKE10
Lostleaf Shroom 11,Shroom: Lostleaf Lake - Deep Woods 4,NOTE_LAKE11
Lostleaf Shroom 12,Shroom: Lostleaf Lake - Deep Woods 5,NOTE_LAKE12
Lostleaf Shroom 13,Shroom: Lostleaf Lake - Behind Church 3,NOTE_LAKE13
Lostleaf Shroom 14,Shroom: Lostleaf Lake - Behind Church 1,NOTE_LAKE14
Lostleaf Shroom 15,Shroom: Lostleaf Lake - Behind Church 2,NOTE_LAKE15
Lostleaf Shroom 16,Shroom: Lostleaf Lake - Teepee 1,NOTE_LAKE16
Lostleaf Shroom 17,Shroom: Lostleaf Lake - Teepee 3,NOTE_LAKE17
Lostleaf Shroom 18,Shroom: Lostleaf Lake - Teepee 2,NOTE_LAKE18
Lostleaf Shroom 19,Shroom: Lostleaf Lake - Waterfall Logs 2,NOTE_LAKE19
Lostleaf Shroom 20,Shroom: Lostleaf Lake - Waterfall Logs 3,NOTE_LAKE20
Lostleaf Shroom 21,Shroom: Lostleaf Lake - Waterfall Logs 4,NOTE_LAKE21
Lostleaf Shroom 22,Shroom: Lostleaf Lake - Waterfall Logs 1,NOTE_LAKE22
Lostleaf Shroom 23,Shroom: Lostleaf Lake - Lake Logs 2,NOTE_LAKE23
Lostleaf Shroom 24,Shroom: Lostleaf Lake - Lake Logs 1,NOTE_LAKE24
Lostleaf Shroom 25,Shroom: Lostleaf Lake - Lake Logs 3,NOTE_LAKE25
Lostleaf Shroom 26,Shroom: Lostleaf Lake - Lake Logs 4,NOTE_LAKE26
Lostleaf Shroom 27,Shroom: Lostleaf Lake - Winky Bouncy Mushroom 1,NOTE_LAKE27
Lostleaf Shroom 28,Shroom: Lostleaf Lake - Winky Bouncy Mushroom 2,NOTE_LAKE28
Lostleaf Shroom 29,Shroom: Lostleaf Lake - Winky Bouncy Mushroom 3,NOTE_LAKE29
Lostleaf Shroom 30,Shroom: Lostleaf Lake - Ramp to Winky Tree 1,NOTE_LAKE30
Lostleaf Shroom 31,Shroom: Lostleaf Lake - Ramp to Winky Tree 3,NOTE_LAKE31
Lostleaf Shroom 32,Shroom: Lostleaf Lake - Ramp to Winky Tree 5,NOTE_LAKE32
Lostleaf Shroom 33,Shroom: Lostleaf Lake - Ramp to Winky Tree 2,NOTE_LAKE33
Lostleaf Shroom 34,Shroom: Lostleaf Lake - Ramp to Winky Tree 4,NOTE_LAKE34
Lostleaf Shroom 35,Shroom: Lostleaf Lake - Deep Woods Entryway 1,NOTE_LAKE35
Lostleaf Shroom 36,Shroom: Lostleaf Lake - Deep Woods Entryway 2,NOTE_LAKE36
Lostleaf Shroom 37,Shroom: Lostleaf Lake - Deep Woods Entryway 3,NOTE_LAKE37
Lostleaf Shroom 38,Shroom: Lostleaf Lake - Lake Gravestone 1,NOTE_LAKE38
Lostleaf Shroom 39,Shroom: Lostleaf Lake - Lake Gravestone 2,NOTE_LAKE39
Lostleaf Shroom 40,Shroom: Lostleaf Lake - Lake Gravestone 3,NOTE_LAKE40
Lostleaf Shroom 41,Shroom: Lostleaf Lake - Bridge 2,NOTE_LAKE41
Lostleaf Shroom 42,Shroom: Lostleaf Lake - Bridge 1,NOTE_LAKE42
Lostleaf Shroom 43,Shroom: Lostleaf Lake - Bridge 3,NOTE_LAKE43
Lostleaf Shroom 44,Shroom: Lostleaf Lake - Winky Apple Tree 4,NOTE_LAKE44
Lostleaf Shroom 45,Shroom: Lostleaf Lake - Winky Apple Tree 3,NOTE_LAKE45
Lostleaf Shroom 46,Shroom: Lostleaf Lake - Winky Apple Tree 1,NOTE_LAKE46
Lostleaf Shroom 47,Shroom: Lostleaf Lake - Winky Apple Tree 2,NOTE_LAKE47
Lostleaf Shroom 48,Shroom: Lostleaf Lake - Church Entryway 3,NOTE_LAKE48
Lostleaf Shroom 49,Shroom: Lostleaf Lake - Church Entryway 2,NOTE_LAKE49
Lostleaf Shroom 50,Shroom: Lostleaf Lake - Church Entryway 1,NOTE_LAKE50
Lostleaf Shroom 51,Shroom: Church - Pews 4,NOTE_LAKE51
Lostleaf Shroom 52,Shroom: Church - Pews 2,NOTE_LAKE52
Lostleaf Shroom 53,Shroom: Church - Pews 1,NOTE_LAKE53
Lostleaf Shroom 54,Shroom: Church - Pews 3,NOTE_LAKE54
Lostleaf Shroom 55,Shroom: Treehouse - Corners 4,NOTE_LAKE55
Lostleaf Shroom 56,Shroom: Treehouse - Corners 3,NOTE_LAKE56
Lostleaf Shroom 57,Shroom: Treehouse - Corners 2,NOTE_LAKE57
Lostleaf Shroom 58,Shroom: Treehouse - Corners 1,NOTE_LAKE58
Lostleaf Shroom 59,Shroom: Treehouse - Corners 5,NOTE_LAKE59
Lostleaf Shroom 60,Shroom: Treehouse - Corners 6,NOTE_LAKE60

Armada Shroom 1,Shroom: Airborne Armada - Bouncy Shroom 1,NOTE_MONSTER1
Armada Shroom 2,Shroom: Airborne Armada - Bouncy Shroom 3,NOTE_MONSTER2
Armada Shroom 3,Shroom: Airborne Armada - Bouncy Shroom 2,NOTE_MONSTER3
Armada Shroom 4,Shroom: Airborne Armada - Bouncy Shroom 4,NOTE_MONSTER4
Armada Shroom 5,Shroom: Airborne Armada - Entry Pathway 5,NOTE_MONSTER5
Armada Shroom 6,Shroom: Airborne Armada - Front Entrance 1,NOTE_MONSTER6
Armada Shroom 7,Shroom: Airborne Armada - Front Entrance 2,NOTE_MONSTER7
Armada Shroom 8,Shroom: Airborne Armada - Front Entrance 3,NOTE_MONSTER8
Armada Shroom 9,Shroom: Airborne Armada - Side 1,NOTE_MONSTER9
Armada Shroom 10,Shroom: Airborne Armada - Side 2,NOTE_MONSTER10
Armada Shroom 11,Shroom: Airborne Armada - Side Yellow Ledge,NOTE_MONSTER11
Armada Shroom 12,Shroom: Airborne Armada - Back Entrance 1,NOTE_MONSTER12
Armada Shroom 13,Shroom: Airborne Armada - Back Entrance 2,NOTE_MONSTER13
Armada Shroom 14,Shroom: Airborne Armada - Back Entrance 3,NOTE_MONSTER14
Armada Shroom 15,Shroom: Airborne Armada - Back Entrance 4,NOTE_MONSTER15
Armada Shroom 16,Shroom: Airborne Armada - Back Entrance 6,NOTE_MONSTER16
Armada Shroom 17,Shroom: Airborne Armada - Back Entrance 5,NOTE_MONSTER17
Armada Shroom 18,Shroom: Airborne Armada - Topside 1,NOTE_MONSTER18
Armada Shroom 19,Shroom: Airborne Armada - Topside 2,NOTE_MONSTER19
Armada Shroom 20,Shroom: Airborne Armada - Topside 3,NOTE_MONSTER20
Armada Shroom 21,Shroom: Airborne Armada - Entry Pathway 1,NOTE_MONSTER21
Armada Shroom 22,Shroom: Airborne Armada - Entry Pathway 2,NOTE_MONSTER22
Armada Shroom 23,Shroom: Airborne Armada - Entry Pathway 3,NOTE_MONSTER23
Armada Shroom 24,Shroom: Airborne Armada - Entry Pathway 4,NOTE_MONSTER24
Armada Shroom 25,Shroom: Kerrington - Rain Entryway 4,NOTE_MONSTER25
